id,franchID,franchName,wins,losses,R,AB,salary_mean,salary_sum
1902,LAD,Los Angeles Dodgers,75,63,564,4845,NA,NA
1902,MIN,Minnesota Twins,61,75,707,4734,NA,NA
1902,NYY,New York Yankees,50,88,715,4760,NA,NA
1902,OAK,Oakland Athletics,83,53,775,4762,NA,NA
1902,PHI,Philadelphia Phillies,56,81,484,4615,NA,NA
1902,PIT,Pittsburgh Pirates,103,36,775,4926,NA,NA
1902,SFG,San Francisco Giants,48,88,401,4571,NA,NA
1902,STL,St. Louis Cardinals,56,78,517,4751,NA,NA
1903,ATL,Atlanta Braves,58,80,578,4682,NA,NA
1903,BAL,Baltimore Orioles,65,74,500,4639,NA,NA
1903,BOS,Boston Red Sox,91,47,708,4919,NA,NA
1903,CHC,Chicago Cubs,82,56,695,4733,NA,NA
1903,CHW,Chicago White Sox,60,77,516,4670,NA,NA
1903,CIN,Cincinnati Reds,74,65,765,4857,NA,NA
1903,CLE,Cleveland Indians,77,63,639,4773,NA,NA
1903,DET,Detroit Tigers,65,71,567,4582,NA,NA
1903,LAD,Los Angeles Dodgers,70,66,667,4534,NA,NA
1903,MIN,Minnesota Twins,43,94,437,4613,NA,NA
1903,NYY,New York Yankees,72,62,579,4565,NA,NA
1903,OAK,Oakland Athletics,75,60,597,4673,NA,NA
1903,PHI,Philadelphia Phillies,49,86,617,4781,NA,NA
1903,PIT,Pittsburgh Pirates,91,49,793,4988,NA,NA
1903,SFG,San Francisco Giants,84,55,729,4741,NA,NA
1903,STL,St. Louis Cardinals,43,94,505,4689,NA,NA
1904,ATL,Atlanta Braves,55,98,491,5135,NA,NA
1904,BAL,Baltimore Orioles,65,87,481,5291,NA,NA
1904,BOS,Boston Red Sox,95,59,608,5231,NA,NA
1904,CHC,Chicago Cubs,93,60,599,5210,NA,NA
1904,CHW,Chicago White Sox,89,65,600,5027,NA,NA
1904,CIN,Cincinnati Reds,88,65,695,5231,NA,NA
1904,CLE,Cleveland Indians,86,65,647,5152,NA,NA
1904,DET,Detroit Tigers,62,90,505,5321,NA,NA
1904,LAD,Los Angeles Dodgers,56,97,497,4917,NA,NA
1904,MIN,Minnesota Twins,38,113,437,5149,NA,NA
1904,NYY,New York Yankees,92,59,598,5220,NA,NA
1904,OAK,Oakland Athletics,81,70,557,5088,NA,NA
1904,PHI,Philadelphia Phillies,52,100,571,5103,NA,NA
1904,PIT,Pittsburgh Pirates,87,66,675,5160,NA,NA
1904,SFG,San Francisco Giants,106,47,744,5150,NA,NA
1904,STL,St. Louis Cardinals,75,79,602,5104,NA,NA
1905,ATL,Atlanta Braves,51,103,468,5190,NA,NA
1905,BAL,Baltimore Orioles,54,99,511,5204,NA,NA
1905,BOS,Boston Red Sox,78,74,579,5049,NA,NA
1905,CHC,Chicago Cubs,92,61,667,5108,NA,NA
1905,CHW,Chicago White Sox,92,60,612,5114,NA,NA
1905,CIN,Cincinnati Reds,79,74,735,5205,NA,NA
1905,CLE,Cleveland Indians,76,78,567,5166,NA,NA
1905,DET,Detroit Tigers,79,74,512,4971,NA,NA
1905,LAD,Los Angeles Dodgers,48,104,506,5100,NA,NA
1905,MIN,Minnesota Twins,64,87,559,5015,NA,NA
1905,NYY,New York Yankees,71,78,586,4957,NA,NA
