name,lat,lon,prop_housing,median_income,avg_duration,median_age,same_house,same_county,same_state,car_alone,carpool,public_transit,walked,transit_other,work_at_home,time_0900_0959
"Burlington, IA-IL",40.87289,-91.058756,18.863157894736844,42750.0,17.056523627938407,42.8,85.0,9.0,2.0,82.0,10.0,0.0,2.0,2.0,3.0,2.0
"Burlington, NC",36.044057,-79.399471,22.511269722013523,42592.0,23.70347036677192,39.1,86.0,9.0,3.0,82.0,11.0,0.0,1.0,1.0,4.0,4.0
"Burlington-South Burlington, VT",44.687227,-73.030781,23.913148371531967,62175.0,22.08923194883399,37.7,84.0,10.0,2.0,73.0,10.0,2.0,6.0,2.0,6.0,5.0
"Butte-Silver Bow, MT",45.902404,-112.656713,19.774418046556274,37503.0,15.311545708530959,40.8,81.0,10.0,5.0,81.0,10.0,0.0,3.0,3.0,3.0,6.0
"Cadillac, MI",44.337828,-85.336889,21.50569442390179,40566.0,21.413031565103026,41.9,87.0,7.0,5.0,80.0,11.0,0.0,3.0,1.0,4.0,5.0
"Calhoun, GA",34.503359,-84.875753,20.681850332437403,42414.0,22.147069256007804,36.6,86.0,8.0,3.0,81.0,13.0,0.0,1.0,3.0,2.0,5.0
"California-Lexington Park, MD",38.215862,-76.529061,20.737045016441773,88190.0,28.73707059267648,36.1,87.0,6.0,3.0,84.0,8.0,2.0,2.0,1.0,3.0,3.0
"Cambridge, MD",38.422608,-76.083325,24.169369685280966,45628.0,25.30421540804319,43.4,89.0,6.0,3.0,80.0,12.0,1.0,2.0,2.0,4.0,3.0
"Cambridge, OH",40.052054,-81.494256,18.169223156853043,40420.0,23.663153786104605,41.9,88.0,7.0,4.0,85.0,8.0,0.0,2.0,1.0,4.0,3.0
"Campbellsville, KY",37.366456,-85.327839,19.72917429126432,35521.0,19.735466332078627,39.3,85.0,9.0,4.0,81.0,8.0,0.0,3.0,2.0,6.0,2.0
"Cañon City, CO",38.472972,-105.439657,21.504104118908526,40569.0,23.275513262400718,43.3,83.0,9.0,5.0,77.0,12.0,0.0,2.0,3.0,5.0,3.0
"Canton, IL",40.472766,-90.207473,16.95328486220558,45938.0,27.417359631640437,42.4,87.0,8.0,5.0,84.0,10.0,0.0,3.0,1.0,2.0,3.0
"Canton-Massillon, OH",40.718661,-81.253492,19.622347673739537,46233.0,22.03456704308488,41.8,88.0,8.0,3.0,85.0,8.0,1.0,2.0,1.0,3.0,4.0
"Cape Coral-Fort Myers, FL",26.57569,-81.915453,23.545128162311098,47908.0,27.181453380255917,46.4,81.0,12.0,3.0,78.0,11.0,1.0,1.0,3.0,6.0,6.0
"Cape Girardeau, MO-IL",37.324494,-89.769841,18.746065424700973,42889.0,20.548346294387706,37.2,82.0,9.0,6.0,83.0,11.0,0.0,2.0,2.0,2.0,4.0
"Carbondale-Marion, IL",37.761847,-89.19024,20.863180972289495,39227.0,19.865191378384598,35.4,82.0,9.0,6.0,81.0,9.0,1.0,5.0,1.0,3.0,5.0
"Carlsbad-Artesia, NM",32.471488,-104.304311,16.209578387228817,51303.0,17.628156724557428,36.7,86.0,8.0,2.0,82.0,12.0,1.0,2.0,1.0,2.0,3.0
"Carson City, NV",39.151146,-119.747422,21.433703201085656,50108.0,16.74290859972985,42.3,77.0,12.0,7.0,82.0,11.0,0.0,2.0,2.0,2.0,5.0
"Casper, WY",42.96224,-106.798494,18.200073984040586,56769.0,17.96622106125794,36.2,81.0,12.0,3.0,82.0,11.0,1.0,2.0,1.0,3.0,4.0
"Cedar City, UT",37.859193,-113.289466,22.607256825434348,42305.0,18.58847577481907,27.6,84.0,8.0,5.0,78.0,12.0,0.0,5.0,2.0,2.0,4.0
"Cedar Rapids, IA",42.091474,-91.631335000000007,17.898305084745765,59e3,19.70835467796768,37.8,86.0,8.0,3.0,82.0,9.0,1.0,3.0,1.0,4.0,3.0
"Cedartown, GA",34.001784,-85.188153,22.668132205209478,39121.0,26.164936941671044,37.2,86.0,10.0,3.0,85.0,10.0,1.0,1.0,1.0,2.0,6.0
"Celina, OH",40.540011,-84.62936,16.166663463571197,52033.0,18.07757775829164,39.8,90.0,7.0,2.0,86.0,8.0,0.0,1.0,1.0,3.0,2.0
"Centralia, IL",38.649591,-88.918973,18.524280209654645,41783.0,21.381119979888126,41.5,85.0,10.0,3.0,82.0,11.0,1.0,2.0,2.0,3.0,3.0
"Centralia, WA",46.577725,-122.39241,22.7881725190484,42917.0,25.974166978659678,42.6,84.0,9.0,5.0,78.0,13.0,1.0,3.0,1.0,5.0,3.0
"Chambersburg-Waynesboro, PA",39.92742,-77.721268,19.59770760759636,53394.0,23.361640306733765,40.6,88.0,7.0,2.0,83.0,10.0,0.0,2.0,1.0,4.0,3.0
"Champaign-Urbana, IL",40.226689,-88.294536,21.667842762857497,48182.0,18.394314585531063,30.6,75.0,14.0,6.0,70.0,9.0,6.0,7.0,3.0,5.0,7.0
"Charleston, WV",38.271815,-81.491519,16.309200735358488,45692.0,22.712911640039128,42.4,88.0,8.0,2.0,81.0,12.0,2.0,3.0,1.0,2.0,4.0
"Charleston-Mattoon, IL",39.420504,-88.229244,20.181388613672738,39363.0,18.061279826464208,34.2,77.0,13.0,8.0,76.0,11.0,1.0,6.0,2.0,5.0,4.0
"Charleston-North Charleston, SC",33.016509,-80.010586,24.380676733248283,52517.0,24.621921442716243,35.8,82.0,9.0,4.0,81.0,9.0,1.0,3.0,2.0,4.0,5.0
"Charlotte-Concord-Gastonia, NC-SC",35.188923,-80.867207,22.24715255461961,52591.0,25.66956425175676,36.7,84.0,9.0,3.0,81.0,10.0,2.0,1.0,1.0,5.0,5.0
