county,lat,lon,prop_housing,median_income,avg_duration,median_age,same_house,same_county,same_state,car_alone,carpool,public_transit,walked,transit_other,work_at_home,region
Arlington County,38.862735,-77.065679,24.24500212675457,84636.0,28.732142857142858,31.4,57.0,7.0,12.0,31.0,5.0,57.0,5.0,2.0,1.0,northern_virginia
Arlington County,38.861585,-77.058968,24.12948071672832,107321.0,27.208546214584302,38.1,57.0,3.0,6.0,33.0,3.0,47.0,6.0,3.0,7.0,northern_virginia
Arlington County,38.86074,-77.053432,24.510223019257438,95911.0,31.443545421110702,31.8,59.0,11.0,5.0,32.0,2.0,48.0,13.0,2.0,3.0,northern_virginia
Arlington County,38.853681,-77.059423,16.88085456039441,152125.0,27.289586305278174,38.1,83.0,5.0,3.0,48.0,7.0,20.0,5.0,7.0,14.0,northern_virginia
Arlington County,38.854138,-77.053746,26.409823521552717,82333.0,30.250709555345317,27.7,51.0,16.0,9.0,35.0,1.0,49.0,10.0,3.0,1.0,northern_virginia
Arlington County,38.85036,-77.063777,17.417676292953473,192563.0,30.15055467511886,45.3,90.0,3.0,2.0,69.0,7.0,13.0,0.0,4.0,7.0,northern_virginia
Arlington County,38.847483,-77.073123,24.226591502818646,87276.0,29.486833220796758,31.4,77.0,10.0,1.0,60.0,10.0,24.0,1.0,3.0,3.0,northern_virginia
Augusta County,38.197728,-79.351393,17.882555882987134,41739.0,36.89866939611054,41.4,88.0,2.0,9.0,83.0,5.0,0.0,3.0,6.0,4.0,greater_roanoke_area
Augusta County,38.357228,-79.147283,14.078543452948026,56682.0,26.57248157248157,43.9,96.0,2.0,2.0,84.0,3.0,0.0,4.0,0.0,9.0,northern_virginia
Augusta County,38.275001,-78.959171,18.553597189989336,63772.0,24.171681415929203,40.1,86.0,6.0,6.0,86.0,6.0,0.0,0.0,1.0,7.0,northern_virginia
Augusta County,38.204738,-78.840459,18.703013263247968,49083.0,26.500368188512518,44.2,96.0,4.0,1.0,92.0,5.0,0.0,2.0,1.0,1.0,northern_virginia
